Question 1 Solution:

[shubham2@localhost ~]$ ps -ef 



Output:
UID         PID   PPID  C STIME TTY          TIME CMD
shubham2   2467   2087  0 03:43 ?        00:00:00 /usr/libexec/gsd-smartcard
shubham2   2469   2087  0 03:43 ?        00:00:00 /usr/libexec/gsd-account
shubham2   2487   2087  0 03:43 ?        00:00:00 /usr/libexec/gsd-a11y-settings
shubham2   2490   2087  0 03:43 ?        00:00:00 /usr/libexec/gsd-clipboard
shubham2   2492   2087  0 03:43 ?        00:00:00 /usr/libexec/gsd-color
shubham2   2494   2087  0 03:43 ?        00:00:00 /usr/libexec/gsd-datetime
shubham2   2497   2087  0 03:43 ?        00:00:00 /usr/libexec/gsd-housekeeping
shubham2   2501   2087  0 03:43 ?        00:00:00 /usr/libexec/gsd-keyboard
shubham2   2508   2087  0 03:43 ?        00:00:00 /usr/libexec/gsd-media-keys
shubham2   2509   2087  0 03:43 ?        00:00:00 /usr/libexec/gsd-mouse
shubham2   2537      1  0 03:43 ?        00:00:00 /usr/libexec/gsd-printer
shubham2   2552      1  0 03:43 ?        00:00:00 /usr/libexec/evolution-calenda
shubham2   2565   2087  0 03:43 ?        00:00:01 nautilus-desktop --force
shubham2   2581   2552  0 03:43 ?        00:00:00 /usr/libexec/evolution-calenda
shubham2   2583   2131  0 03:43 ?        00:00:00 /usr/libexec/gvfsd-trash --spa
shubham2   2601      1  0 03:43 ?        00:00:02 /usr/bin/vmtoolsd -n vmusr
shubham2   2603   2087  0 03:43 ?        00:00:00 /usr/libexec/gsd-disk-utility-
shubham2   2606   2087  0 03:43 ?        00:00:00 /usr/bin/seapplet
shubham2   2617      1  0 03:43 ?        00:00:00 /usr/libexec/evolution-address
shubham2   2618   2087  0 03:43 ?        00:00:00 abrt-applet
shubham2   2623   2087  0 03:43 ?        00:00:02 /usr/bin/gnome-software --gapp
shubham2   2650   2087  0 03:43 ?        00:00:00 /usr/libexec/tracker-extract
shubham2   2657   2087  0 03:43 ?        00:00:00 /usr/libexec/tracker-miner-app
shubham2   2660   2617  0 03:43 ?        00:00:00 /usr/libexec/evolution-address
shubham2   2662   2087  0 03:43 ?        00:00:00 /usr/libexec/tracker-miner-fs
shubham2   2669   2306  0 03:43 ?        00:00:00 /usr/libexec/ibus-engine-simpl
shubham2   2670   2087  0 03:43 ?        00:00:00 /usr/libexec/tracker-miner-use
shubham2   2703      1  0 03:43 ?        00:00:00 /usr/libexec/tracker-store
shubham2   2797   2131  0 03:43 ?        00:00:00 /usr/libexec/gvfsd-burn --spaw
root       2814      1  0 03:43 ?        00:00:00 /usr/libexec/fwupd/fwupd
shubham2   2818      1  0 03:43 ?        00:00:00 /usr/libexec/gvfsd-metadata
shubham2   2833      1  0 03:43 ?        00:00:04 /usr/libexec/gnome-terminal-se
shubham2   2839   2833  0 03:43 ?        00:00:00 gnome-pty-helper
shubham2   2840   2833  0 03:43 pts/0    00:00:00 bash
root       2983      2  0 03:46 ?        00:00:00 [kworker/1:0]
root       3024      2  0 03:50 ?        00:00:00 [kworker/u256:0]
root       3025      2  0 03:50 ?        00:00:00 [kworker/0:0]
root       3041      2  0 03:50 ?        00:00:00 [kworker/1:2]
root       3111      2  0 03:55 ?        00:00:00 [kworker/1:1]
root       3266      1  0 04:01 ?        00:00:00 /usr/sbin/anacron -s
root       3314    697  0 04:01 ?        00:00:00 sleep 60
shubham2   3322   2840  0 04:02 pts/0    00:00:00 ps -ef
